ID,UNITID,OPEID,OPEID6, INSTNM
a,110635,131200,1312,University of California - Berkeley
a,110662,131500,1315,University of California - Los Angeles
a,139959,159800,1598,University of Georgia
a,145637,177500,1775,University of Illinois at Urbana-Champaign
a,170976,232500,2325,University of Michigan - Ann Arbor
a,174066,396900,3969,University of Minnesota - Twin Cities
a,214777,332900,3329,Pennsylvania State University - Main Campus
a,228778,365800,3658,The University of Texas at Austin
a,234076,374500,3745,University of Virginia - Main Campus
